ICAO_ID ,Name,Size,Latitude,Longitude,municipality,local_region,ID_ST,City,State
US-3494,Davis Ranch Airport,closed,32.64734,-116.45559,Campo,CA,776,Campo,CA
US-3491,Abernathy Airport,closed,32.6587,-116.5022,Campo,CA,776,Campo,CA
CA74,Hemet Valley Hospital Helistop,heliport,33.751828,-116.960794,Hemet,CA,600,Hemet,CA
US-6518,Cameron Fire Station Heliport,heliport,32.72053,-116.46464,Pine Valley,CA,781,Pine Valley,CA
00CN,Kitchen Creek Helibase Heliport,heliport,32.7273736,-116.4597417,Pine Valley,CA,781,Pine Valley,CA
80CN,US Border Patrol Campo Heliport,heliport,32.716072,-116.450054,Pine Valley,CA,781,Pine Valley,CA
1CL9,SFI Vernon Heliport,heliport,34.001038,-118.212606,Vernon,CA,7440,Vernon,CA
US-2411,Crafton Hills Airport,closed,34.03616,-117.07154,Yucaipa,CA,800,Yucaipa,CA
KBLH,Blythe Airport,medium_airport,33.6192016602,-114.717002869,Blythe,CA,6805,Blythe,CA
KIZA,Santa Ynez Airport,small_airport,34.60680008,-120.0759964,Santa Ynez,CA,9509,Santa Ynez,CA
US-6695,Saint Andrews Abbey Heliport,heliport,34.45517,-117.87341,Valyermo,CA,811,Valyermo,CA
US-2348,Ace Field,closed,34.00923,-118.16631,Commerce,CA,815,Commerce,CA
US-1931,Vail Field,closed,34.00313,-118.13506,Commerce,CA,815,Commerce,CA
L78,Jacumba Airport,small_airport,32.61600112915039,-116.16500091552734,Jacumba,CA,828,Jacumba,CA
CA75,Reider Ranch Airport,small_airport,32.638646,-116.640866,Potrero,CA,837,Potrero,CA
US-4403,Soboba Flight Park Gliderport,small_airport,33.81863,-116.962,San Jacinto,CA,843,San Jacinto,CA
KEDW,Edwards Air Force Base,medium_airport,34.905399,-117.884003,Edwards,CA,847,Edwards,CA
K9L2,Edwards Af Aux North Base Airport,small_airport,34.99079895019531,-117.86299896240234,Edwards,CA,847,Edwards,CA
KMSP,Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field,large_airport,44.882,-93.221802,Minneapolis,MN,857,Minneapolis,MN
KMIC,Crystal Airport,small_airport,45.0620002746582,-93.35389709472656,Minneapolis,MN,857,Minneapolis,MN
KANE,Anoka County-Blaine (Janes Field) Airport,small_airport,45.145,-93.211401,Minneapolis,MN,857,Minneapolis,MN
KFCM,Flying Cloud Airport,small_airport,44.8272018433,-93.4570999146,Minneapolis,MN,857,Minneapolis,MN
KLVN,Airlake Airport,small_airport,44.62789916992188,-93.22810363769533,Minneapolis,MN,857,Minneapolis,MN
KDAL,Dallas Love Field,medium_airport,32.847099,-96.851799,Dallas,TX,849,Dallas,TX
KADS,Addison Airport,small_airport,32.9686012268,-96.8364028931,Dallas,TX,849,Dallas,TX
KRBD,Dallas Executive Airport,small_airport,32.6809005737,-96.8682022095,Dallas,TX,849,Dallas,TX
KTKI,McKinney National Airport,small_airport,33.177898,-96.5905,Dallas,TX,849,Dallas,TX
9TA4,Placid Heliport,heliport,32.78179931640625,-96.79810333251952,Dallas,TX,849,Dallas,TX
KHQZ,Mesquite Metro Airport,small_airport,32.74700164794922,-96.53040313720705,Mesquite,TX,859,Mesquite,TX
KMKC,Charles B. Wheeler Downtown Airport,medium_airport,39.12319946289063,-94.5927963256836,Kansas City,MO,851,Kansas City,MO
MO21,St Joseph Health Center Heliport,heliport,38.93610000610352,-94.60440063476562,Kansas City,MO,851,Kansas City,MO
19MO,North Patrol Div Station Heliport,closed,39.245025,-94.591486,Kansas City,MO,851,Kansas City,MO
KMCI,Kansas City International Airport,large_airport,39.2976,-94.713898,Kansas City,MO,851,Kansas City,MO
MO63,Spelman/St. Luke's Hospital Heliport,heliport,39.252201080322266,-94.64610290527344,Kansas City,MO,851,Kansas City,MO
75MO,Childrens Mercy Hospital Heliport,heliport,39.08250045776367,-94.57689666748048,Kansas City,MO,851,Kansas City,MO
5MO5,St Lukes Hospital Heliport,heliport,39.05080032348633,-94.5894012451172,Kansas City,MO,851,Kansas City,MO
MO69,Baptist Medical Center Heliport,heliport,39.00609970092773,-94.57720184326172,Kansas City,MO,851,Kansas City,MO
TS00,Fuller Airport,small_airport,32.787314,-97.180499,Fort Worth,TX,852,Fort Worth,TX
00TA,SW Region FAA Heliport,closed,32.8269,-97.305801,Fort Worth,TX,852,Fort Worth,TX
KFTW,Fort Worth Meacham International Airport,medium_airport,32.819801,-97.362396,Fort Worth,TX,852,Fort Worth,TX
KNFW,NAS Fort Worth JRB / Carswell Field,medium_airport,32.769199,-97.441498,Fort Worth,TX,852,Fort Worth,TX
KFWS,Fort Worth Spinks Airport,small_airport,32.56520080566406,-97.30809783935548,Fort Worth,TX,852,Fort Worth,TX
US-2052,Parkway Surgical Hospital Heliport,heliport,32.89611,-97.31321,Fort Worth,TX,852,Fort Worth,TX
TX71,JMK International Inc Heliport,closed,32.715333,-97.413665,Fort Worth,TX,852,Fort Worth,TX
6TX1,Action 5 Heliport,closed,32.750099,-97.266998,Fort Worth,TX,852,Fort Worth,TX
02TS,FWOMC Heliport,closed,32.747601,-97.370003,Fort Worth,TX,852,Fort Worth,TX
TX85,City of Fort Worth Heliport,heliport,32.77790069580078,-97.3249969482422,Fort Worth,TX,852,Fort Worth,TX
TS56,Ktvt Channel 11 Heliport,heliport,32.76139831542969,-97.24420166015624,Fort Worth,TX,852,Fort Worth,TX
KAFW,Fort Worth Alliance Airport,medium_airport,32.99044,-97.31947,Fort Worth,TX,852,Fort Worth,TX
93TX,John Peter Smith EMS Building Heliport,heliport,32.726978302,-97.3265914917,Fort Worth,TX,852,Fort Worth,TX
01TS,St Joseph Hospital Heliport,closed,32.7285,-97.324501,Fort Worth,TX,852,Fort Worth,TX
XA18,Baylor All Saints Medical Center Heliport,heliport,32.73109817504883,-97.3467025756836,Fort Worth,TX,852,Fort Worth,TX
TS73,Stubbs Strip,closed,32.775338,-97.487404,Fort Worth,TX,852,Fort Worth,TX
9F5,Tcjc-South Campus Heliport,heliport,32.663700103759766,-97.2863998413086,Fort Worth,TX,852,Fort Worth,TX
US-0604,HDC1 Heliport,heliport,32.919634,-97.309771,Fort Worth,TX,852,Fort Worth,TX
US-2003,Medical City Alliance Heliport,heliport,32.900331,-97.312834,Fort Worth,TX,852,Fort Worth,TX
US-2495,Hicks Field (1917) / Camp Taliaferro Field #1,closed,32.91052,-97.39883,Fort Worth,TX,852,Fort Worth,TX
F04,Saginaw Airport,closed,32.862597,-97.378098,Fort Worth,TX,852,Fort Worth,TX
